Dataset,MR,Pass@1,Pass@3,Pass@5,Pass@7,Pass@10
HumanEval,MR1,0.15723684210526317,0.29720394736842104,0.3699613617376776,0.4201206140350877,0.47368421052631576
HumanEval,MR2,0.10370370370370371,0.21944444444444447,0.27483833039388594,0.3058641975308642,0.3333333333333333
HumanEval,MR3,0.017647058823529415,0.049019607843137254,0.07516339869281045,0.09607843137254901,0.11764705882352941
MBPP,MR1,0.30446194225721784,0.5174759405074365,0.6172874224055327,0.6797025371828522,0.7427821522309711
MBPP,MR2,0.23855421686746994,0.4322289156626506,0.5230445591891374,0.5802208835341365,0.6385542168674698
MBPP,MR3,0.14603174603174598,0.3158730158730159,0.4036911060720585,0.4533068783068783,0.49206349206349204
